Mes_Año,Guerrero,CDMX,Oaxaca,Puebla
01/04/2023,3.5,2.02,3.615689382,3.411111111
01/05/2023,3.461904762,1.680645161,3.603838384,3.177777778
01/06/2023,3.456187291,2.25,3.653018868,3.25
01/07/2023,3.512179487,2.12,3.648758465,3.325
01/08/2023,3.496518987,1.633333333,3.594456763,3.5625
01/09/2023,3.401617251,1.75,3.631628788,3.266666667
01/10/2023,3.445797101,3.4,3.56040146,3.4
01/11/2023,3.463973064,,3.617487267,3.1375
01/12/2023,3.384910486,1.782608696,3.552218935,3.564705882
01/01/2024,3.417084282,1.1,3.611501597,3.364705882
01/02/2024,3.427358491,1.689473684,3.566121842,3.45625
01/03/2024,3.441144414,2.1,3.534520124,3.276923077
01/04/2024,3.455029586,1,3.545127436,3.36
01/05/2024,3.402535211,1.25,3.569889065,3.284615385
01/06/2024,3.426470588,1.95,3.531129032,3.326086957
01/07/2024,3.435697941,2,3.53200692,3.227272727
01/08/2024,3.356547619,1.7,3.575090909,3.233333333
01/09/2024,3.401955307,1.803030303,3.535947712,2.836363636
01/10/2024,3.33988764,1.8625,3.556989247,2.93
01/11/2024,3.306840391,1.8,3.570823529,3.116666667
